,User-ID,ISBN,Book-Rating
1465,277427,0060542128,7
1474,277427,0061009059,9
1522,277427,0316776963,8
1543,277427,0345413903,10
1564,277427,0380702843,8
1570,277427,0380791978,9
1578,277427,0385424736,9
1581,277427,0385486804,9
1583,277427,0385503857,9
1584,277427,0385504209,8
1586,277427,039304016X,8
1601,277427,0399501487,9
1607,277427,0425104338,9
1611,277427,0425116840,8
1615,277427,0425133516,9
1637,277427,0440185327,5
1647,277427,0440224764,7
1652,277427,0440236738,9
1655,277427,0440428130,8
1659,277427,0441627404,10
1662,277427,0446350982,9
1664,277427,0446600415,10
1688,277427,0451191153,8
1690,277427,0451203593,10
1694,277427,0452284449,6
1718,277427,0553280368,9
1724,277427,0553571656,10
1728,277427,0553573926,10
1736,277427,0553581929,9
1768,277427,0671876821,8
1778,277427,0679736042,5
1798,277427,0743406176,8
1799,277427,0743412028,9
1802,277427,0743444477,9
1803,277427,0743457943,8
1807,277427,0767903382,10
1810,277427,0786866845,10
1828,277427,0811802981,10
1829,277427,0811811409,10
1838,277427,0836210263,10
1842,277427,0836217691,10
1844,277427,0836218515,10
1847,277427,0836218817,10
1849,277427,0836221192,10
1850,277427,0836221311,8
1852,277427,0836236688,10
1880,277427,0890876517,10
1893,277427,0898157803,10
3382,278026,0061009059,8
3384,278026,0061031410,8
3386,278026,0061094129,8
3387,278026,0312983433,8
3388,278026,0345440064,8
3391,278026,0380731851,5
3406,278026,0449006522,8
3409,278026,0449227545,3
3413,278026,0451202473,7
3415,278026,0451206525,8
3416,278026,0515125490,8
3418,278026,0515130389,8
3422,278026,0671001795,8
3428,278026,0743206045,7
3437,278026,1551667517,7
9197,278633,0060987561,10
9199,278633,014028009X,2
9200,278633,0140296298,7
9202,278633,0142000205,7
9204,278633,0316096199,8
9205,278633,0316666343,9
9206,278633,0316899984,7
9210,278633,0375703063,7
9235,278633,0515131083,10
9249,278633,0679425268,9
9253,278633,0684814994,10
9257,278633,0688170528,8
9258,278633,0743225082,7
9266,278633,1882723007,8
10184,254,0380730448,8
10186,254,0380789035,10
10202,254,0399146431,9
10208,254,0439064864,9
10209,254,0439064872,9
10210,254,0439136350,9
10212,254,0439139597,9
10251,254,0451524934,9
10253,254,0451526341,8
10270,254,0553280325,8
10279,254,0590353403,9
10284,254,0618002219,9
10290,254,0671021001,7
11076,638,0151001006,10
11078,638,0316666343,10
11079,638,0316693006,10
11080,638,0316693200,9
